id,302,303,304,305,306,307,308,310,311,312,314,315,316,317,319,320,321,324,325,326,327,329,331,332,333,336,337,338,340,341,342,343,345,346,347,348,350,353,354,356,357,360,361,362,363,365,367,368,369,370,371,374,375,378,379,380,381,382,385,386,388,389,391,392,394,395,397,398,399,401,402,403,405,406,407,408,409,411,413,415,416,417,419,424,425,428,429,430,431,432,433,434,437,438,440,441,442,443,445,449,450,451,454,455
surv92,0,3.3,11.1,-,30.3,7.4,21.7,29.9,0,49.8,0,22.8,16.1,15.3,0,-,9.5,1.8,9.5,7.8,0,0,2.8,2.1,0,4.2,6.1,7.8,22.9,3.3,0,44.1,21.5,10.2,16.6,8.9,0,33.8,0,11.1,34.9,0,45.7,3.3,10.3,7.1,-,0,21.2,16.7,0,15.7,0,5.6,4.2,3.7,15.2,22.9,15.4,34.3,9.1,0,3,5.2,13.1,7.5,20.3,7.3,-,-,56.8,0,32.1,9.3,13.3,8.9,14.4,24.5,19,6.3,0,9.2,0,0,6.3,0,13,0,9.1,7.1,7.8,0,6.1,0,6.1,0,1.9,-,2.2,4.7,23.4,3.7,10.6,7.5
surv93,88,98,87.6,93.3,89.5,87.5,100,97.2,90.8,92.2,100,86.8,93.7,85.7,76,-,96.3,97.6,85.6,82.1,93.2,100,93.1,78.5,70.1,93,87.3,85,98.4,-,85.3,91.1,92.5,87.2,98,94.3,96.8,88.3,91.1,80,82.2,92,90.9,94.2,88.2,90.5,-,95.2,93.9,94.8,64.9,82.9,91.7,86.1,97.8,100,96.3,88.4,97.8,84.1,89.6,93.8,86.5,83.3,78.9,95,87.7,88.3,-,-,96.4,97.6,100,100,75.7,72.1,108,96.6,92.3,97.9,80.8,94.6,83.3,81.9,93.6,88.8,88.6,48.3,-,86.1,91.4,87.5,93.2,94.3,98,82.8,100,88.1,92.8,90.7,90.4,90.5,86.7,83.1
surv94,13.3,34.9,2.6,22.6,10.3,2.8,6.1,2.3,0,20,5.1,23.4,24.5,3.8,3.7,-,22.4,17.6,0,0,7.6,7.7,16.7,5.1,0,6.1,20.3,19.1,8.3,0,5.3,12.3,20.6,2.6,2.6,7.7,5.6,19.5,11.4,11.8,31.3,2.6,2.1,7.4,12.5,13.5,-,0,4.4,29.6,0,20.9,16.5,0,35.2,32.3,22.4,11.6,20.5,33.5,47.4,13.3,47.2,0,45,25.7,2.4,1.9,-,-,47.3,0,31.6,6.7,2.2,12.8,30.9,25,48.1,33.7,0,45.8,20.2,0,37.3,11.1,3.5,11.1,3.7,2.4,2,11.4,13.3,3.3,0,1.6,0,41,18.2,22.2,22.1,10.5,0,12.4
surv97,77.3,87,87.9,90.5,-,69.4,68.5,93.3,69.3,88,79.2,76.7,91.7,-,85.4,-,98.1,83.1,100,83.6,-,70.3,72.7,73.1,100,86.5,89.1,-,93.3,68.3,77.4,100,100,100,100,82.7,86.1,82.8,62.8,95.2,79,93.5,100,90.2,89.5,74.6,-,91.7,97,82,82.3,80.1,100,85.2,92.3,86,94.4,84.2,100,95.2,69.6,91.3,-,80.2,87.5,83.4,-,70.3,-,-,95.1,90.9,90,74.6,87.8,87.1,85.8,87.4,78.9,91.2,86.9,86.4,89.2,77.6,86.3,71.3,74.3,100,-,93.3,77.1,72.6,100,81.2,78.3,78.9,87.5,-,87.5,84.2,92.4,83.4,70.9,80
surv99,54.3,34.6,62.7,83.3,42.1,12.2,31.4,23.1,9.3,76.5,23,88.9,94.9,19.7,61.2,-,72.6,88.6,93.3,54.5,100,22.7,-,5.6,40,19.7,48.9,85.7,75.4,7.8,46.4,69.4,88.3,-,100,76.1,11.6,76.7,5.3,20.3,46.3,88.6,54.4,11.1,18.5,51.7,-,14.5,64.4,62.9,19.2,100,83.3,15.7,69.6,68.7,90.7,54.8,74.1,61.3,65.2,48.7,52.2,7.5,96.7,56.1,35.2,42,-,-,73.8,93.3,30.1,41.7,54.9,56.1,-,41.8,71.9,67.2,6.2,53.4,58.6,32.6,62.6,4.8,41.4,16.6,30.9,43.8,26.1,32.5,26.4,7.6,24.2,59.7,43.5,77.8,33.6,69.7,86.9,81.5,15.7,51.6
flower0,76,100,21.5,100,64,44,46,25.5,20.5,26,45,100,100,35.5,100,43,30,47.5,40,73,32.5,100,28.5,19,23,36.5,100,100,28,100,31.5,33.5,44,20,33,100,31,100,37,100,22,11,79.5,24,57,30.5,60,58,15,100,70,64.5,25.5,26,100,100,68,100,100,28.5,70.5,100,37.5,70,21,100,31.5,74.5,37.5,-,45,75,100,25.5,20.5,100,56,48.5,74.5,100,38.5,41.5,100,28.5,35,68,38,23,67,79,42.5,100,27.5,28.5,100,27,100,100,72.5,72,100,100,35,100
flower4,38.5,61,18.5,100,46.5,22,23.5,18.5,8.5,10.5,24,68.5,41,24,100,26.5,18.5,19.5,27,41,23,58,18,11,8.5,19.5,50.5,63,16.5,56.5,20.5,25,24.5,18.5,20,53,22.5,79,31.5,63.5,21,10.5,27.5,16,40.5,18.5,28,31.5,16.5,65.5,30,26,20.5,24,57,51,27,37.5,100,25.5,60,36,20.5,37,21.5,28.5,23.5,42.5,34.5,-,26,38.5,69,29.5,15.5,59,32.5,23,32.5,58.5,20.5,38,59,18.5,20,24.5,8.5,20.5,21,51,24.5,44,19,20,57.5,19,63,45,29.5,53.5,72.5,60,28.5,66.5
flower8,20.5,19.5,15.5,29,23,14,22.5,19,9.5,10.5,21.5,23,23.5,20.5,33.5,18,18,22.5,17.5,24.5,19.5,30.5,16.5,13,12.5,18,24.5,33,12,26.5,21.5,18.5,18.25,21,19,21,12,27.5,20.5,23.5,13,8.5,28.5,22.5,23.25,18,27,20,15.5,44.5,25,19,15.5,21.5,32,25,21,32.5,36.5,23.5,38,23,18,24,20.25,29,23,23,20,-,24.5,22,34,23,14.5,21.5,21,20.5,22,19.5,25,24,28.5,18.5,17.5,19.5,11,18.5,17.5,21,18,29,14,21.5,29.5,14.5,28.5,27,22.5,29.5,32,26,21.5,26.5
